level,agent_name,weight_file,difficulty,obstacles,run_id,reward,steps,collisions,success
Level_1,D3QN_RewSh2_BIASED_0.6,weights_d3qn_RewSh2.pth,0,0,26,1741.0,387,0,1
Level_1,D3QN_RewSh2_BIASED_0.6,weights_d3qn_RewSh2.pth,0,0,27,2078.0,48,0,1
Level_1,D3QN_RewSh2_BIASED_0.6,weights_d3qn_RewSh2.pth,0,0,28,-197599.0,1000,1,0
Level_1,D3QN_RewSh2_BIASED_0.6,weights_d3qn_RewSh2.pth,0,0,29,-190784.0,1000,5,0
Level_3_NoWalls,D3QN_RewSh2_BIASED_0.4,weights_d3qn_RewSh2.pth,3,0,20,-52000.0,1000,17,0
Level_3_NoWalls,D3QN_RewSh2_BIASED_0.4,weights_d3qn_RewSh2.pth,3,0,21,-26579.0,1000,11,0
Level_3_NoWalls,D3QN_RewSh2_BIASED_0.4,weights_d3qn_RewSh2.pth,3,0,22,-32384.0,1000,11,0
Level_3_NoWalls,D3QN_RewSh2_BIASED_0.4,weights_d3qn_RewSh2.pth,3,0,23,-22172.0,1000,10,0
Level_3_NoWalls,D3QN_RewSh2_BIASED_0.4,weights_d3qn_RewSh2.pth,3,0,24,-44182.0,1000,18,0
Level_3_NoWalls,D3QN_RewSh2_BIASED_0.4,weights_d3qn_RewSh2.pth,3,0,25,-870.0,1000,0,0
Level_3_NoWalls,D3QN_RewSh2_BIASED_0.4,weights_d3qn_RewSh2.pth,3,0,26,1909.0,220,0,1
Level_3_NoWalls,D3QN_RewSh2_BIASED_0.4,weights_d3qn_RewSh2.pth,3,0,27,2005.0,125,0,1
Level_3_NoWalls,D3QN_RewSh2_BIASED_0.4,weights_d3qn_RewSh2.pth,3,0,28,257.0,71,1,0
Level_3_NoWalls,D3QN_RewSh2_BIASED_0.4,weights_d3qn_RewSh2.pth,3,0,29,-59576.0,1000,17,0
Level_3_NoWalls,D3QN_RewSh2_BIASED_0.4,weights_d3qn_RewSh2.pth,3,0,30,-24782.0,1000,11,0
Level_3_NoWalls,D3QN_RewSh2_BIASED_0.4,weights_d3qn_RewSh2.pth,3,0,31,1987.0,141,0,1
Level_3_NoWalls,D3QN_RewSh2_BIASED_0.4,weights_d3qn_RewSh2.pth,3,0,32,-9621.0,349,3,0
Level_3_NoWalls,D3QN_RewSh2_BIASED_0.4,weights_d3qn_RewSh2.pth,3,0,33,-24387.0,1000,6,0
Level_3_NoWalls,D3QN_RewSh2_BIASED_0.4,weights_d3qn_RewSh2.pth,3,0,34,-87984.0,1000,34,0
Level_3_NoWalls,D3QN_RewSh2_BIASED_0.4,weights_d3qn_RewSh2.pth,3,0,35,-15104.0,431,7,0
Level_3_NoWalls,D3QN_RewSh2_BIASED_0.4,weights_d3qn_RewSh2.pth,3,0,36,2045.0,79,0,1
Level_3_NoWalls,D3QN_RewSh2_BIASED_0.4,weights_d3qn_RewSh2.pth,3,0,37,-19639.0,362,3,0
Level_3_NoWalls,D3QN_RewSh2_BIASED_0.4,weights_d3qn_RewSh2.pth,3,0,38,-6468.0,1000,2,0
